bill_number, introduction date, primary sponsor, sponsor_id, introduced, action in committee, action beyond committee, passed chamber, becomes law, vetoed, veto overridden, significance
SJ 108,2010-01-13 00:00:00,Henry L. Marsh III,VAL000014,1,0,1,1,0,0,0,False,
SJ 109,2010-01-13 00:00:00,Henry L. Marsh III,VAL000014,1,0,0,0,0,0,0,False,
SJ 458,2011-02-10 00:00:00,R. Edward Houck,VAL000008,1,0,1,1,0,0,0,False,
SJ 459,2011-02-10 00:00:00,R. Edward Houck,VAL000008,1,0,1,1,0,0,0,False,
SJ 104,2010-01-13 00:00:00,John S. Edwards,VAL000005,1,0,1,1,0,0,0,False,
SJ 105,2010-01-13 00:00:00,John S. Edwards,VAL000005,1,0,1,1,0,0,0,False,
SJ 106,2010-01-13 00:00:00,Yvonne B. Miller,VAL000020,1,0,0,0,0,0,0,False,
SJ 107,2010-01-13 00:00:00,Henry L. Marsh III,VAL000014,1,0,1,1,0,0,0,False,
SJ 100,2010-01-13 00:00:00,Stephen D. Newman,VAL000021,1,0,1,1,0,0,0,False,
SJ 101,2010-01-13 00:00:00,Patricia S. Ticer,VAL000035,1,0,1,1,0,0,0,False,
SJ 102,2010-01-13 00:00:00,Patricia S. Ticer,VAL000035,1,0,1,1,0,0,0,False,
SJ 103,2010-01-13 00:00:00,Stephen D. Newman,VAL000021,1,0,1,1,0,0,0,False,
HJ 1039,2017-02-19 00:00:00,Richard L. Anderson,VAL000045,1,0,1,1,0,0,0,False,
HJ 1038,2017-02-18 00:00:00,L. Mark Dudenhefer,VAL000156,1,0,1,1,0,0,0,False,
HJ 1037,2017-02-17 00:00:00,Tony O. Wilt,VAL000141,1,0,1,1,0,0,0,False,
HJ 1036,2017-02-17 00:00:00,Mark H. Levine,VAL000235,1,0,1,1,0,0,0,False,
HJ 1035,2017-02-17 00:00:00,David J. Toscano,VAL000134,1,0,1,1,0,0,0,False,
HJ 1034,2017-02-17 00:00:00,Tony O. Wilt,VAL000141,1,0,1,1,0,0,0,False,
HJ 1033,2017-02-17 00:00:00,Tony O. Wilt,VAL000141,1,0,1,1,0,0,0,False,
HJ 1032,2017-02-17 00:00:00,Daniel W. Marshall III,VAL000097,1,0,1,1,0,0,0,False,
HJ 1031,2017-02-17 00:00:00,David J. Toscano,VAL000134,1,0,1,1,0,0,0,False,
HJ 1030,2017-02-17 00:00:00,William J. Howell,VAL000079,1,0,1,1,0,0,0,False,
SJ 456,2011-02-09 00:00:00,Ralph K. Smith,VAL000032,1,0,1,1,0,0,0,False,
SJ 457,2011-02-10 00:00:00,Richard H. Stuart,VAL000034,1,1,1,1,0,0,0,False,
HB 754,2010-01-12 00:00:00,William R. Janis,VAL000083,1,0,1,1,0,0,0,False,
SJ 454,2011-02-09 00:00:00,David W. Marsden,VAL000013,1,0,1,1,0,0,0,False,
HB 755,2010-01-12 00:00:00,William R. Janis,VAL000083,1,0,1,1,0,0,0,False,
SJ 455,2011-02-09 00:00:00,J. Chapman Petersen,VAL000025,1,0,1,1,0,0,0,False,
HB 208,2010-01-08 00:00:00,David L. Bulova,VAL000053,1,0,1,1,0,0,0,False,
SJ 452,2011-02-09 00:00:00,David W. Marsden,VAL000013,1,0,1,1,0,0,0,False,
HB 757,2010-01-12 00:00:00,Christopher P. Stolle,VAL000130,1,1,0,0,0,0,0,False,
SJ 453,2011-02-09 00:00:00,David W. Marsden,VAL000013,1,0,1,1,0,0,0,False,
HB 758,2010-01-12 00:00:00,Christopher P. Stolle,VAL000130,1,0,1,0,0,0,0,False,
SJ 450,2011-02-09 00:00:00,Janet D. Howell,VAL000009,1,0,1,1,0,0,0,False,
HB 207,2010-01-08 00:00:00,Kenneth C. Alexander,VAL000044,1,0,1,1,0,0,0,False,
SJ 451,2011-02-09 00:00:00,R. Edward Houck,VAL000008,1,0,1,1,0,0,0,False,
HB 204,2010-01-08 00:00:00,Kenneth C. Alexander,VAL000044,1,0,1,1,0,0,0,False,
HJ 5046,2011-06-09 00:00:00,James M. Scott,VAL000125,1,0,1,1,0,0,0,False,
HB 205,2010-01-08 00:00:00,Kenneth C. Alexander,VAL000044,1,0,1,1,0,0,0,False,
HJ 5047,2011-06-09 00:00:00,Robert D. Orrock Sr.,VAL000113,1,0,1,1,0,0,0,False,
HB 202,2010-01-08 00:00:00,Kenneth C. Alexander,VAL000044,1,1,0,0,0,0,0,False,
HB 203,2010-01-08 00:00:00,Kenneth C. Alexander,VAL000044,1,1,0,0,0,0,0,False,
HB 200,2010-01-08 00:00:00,Kenneth C. Alexander,VAL000044,1,0,0,0,0,0,0,False,
HB 201,2010-01-08 00:00:00,Kenneth C. Alexander,VAL000044,1,0,1,1,0,0,0,False,
HB 1446,2010-11-17 00:00:00,G. Manoli Loupassi,VAL000096,1,1,0,0,0,0,0,False,
HB 1447,2010-11-22 00:00:00,Benjamin L. Cline,VAL000058,1,0,1,1,0,0,0,True,
HB 1444,2010-11-15 00:00:00,Harvey B. Morgan,VAL000107,1,0,0,0,0,0,0,False,
HB 1445,2010-11-15 00:00:00,Harvey B. Morgan,VAL000107,1,1,0,0,0,0,0,False,
HB 1442,2010-11-15 00:00:00,Harvey B. Morgan,VAL000107,1,1,0,0,0,0,0,False,
HB 1443,2010-11-15 00:00:00,Harvey B. Morgan,VAL000107,1,1,0,0,0,0,0,False,
HB 1440,2010-11-10 00:00:00,Robert G. Marshall,VAL000098,1,1,0,0,0,0,0,False,
HB 1441,2010-11-12 00:00:00,G. Glenn Oder-resigned 8/31/11,VAL000112,1,1,0,0,0,0,0,False,
HB 1448,2010-11-22 00:00:00,Thomas A. Greason,VAL000074,1,1,0,0,0,0,0,False,
HB 1449,2010-11-22 00:00:00,Anne B. Crockett-Stark,VAL000064,1,0,1,1,0,0,0,False,
