Bill #,Sponsor,Alternate Names,Doc #'s referencing,Description
HB 2000,Del. Charles. D. Poindexter,,"1,63, 81, 359",bars sanctuary cities
HB 2264,Del. Benjmain L. Cline,,"19, 29",restricts state abortion funding
SB 1055,Sen. Richard H. Stuart,,10,increases penalties for rioting
HB 1578,Del. Robert B. Bell,Tebow Bill,"1, 16, 104, 120, 152, 220, 321",allows homeschooled kids to play public school sports
HB 1612,Del. Robert G. Marshall,"Marshall's bill, Physical Privacy Act","2,3, 7, 9",
HB 2043,Del. Jackson H. Miller,Miller's Bill,"4,58, 114",
HB 2191,Del. R. Steven Landes,,"6, 15, 23",
HB 1857,Del. Alfonso H. Lopez,Lopez's Bill,11,
HB 1900,Del. William J. Howell,Howell's bill,"12, 34, 70, 115, 330",
HB 1401,Del. R. Steven Landes,,"15, 163, 209, 211",
HB 1842,Del. Barry D. Knight,,"15, 103",
HB 1432,Del. R. Lee Ware Jr.,Switchblade knife bill,"16, 53, 69",
HB 1582,De. Jeffrey L. Campbell,Concealed handgun permit bill,16,
SB 1359,Sen. Jeremy McPike,,"16, 182",
SB 1095,Sen. J. Chapman Petersen,"Petersen's bill, Peterson's legislation","17, 21, 73, 100, 106",
HB 1913,Del. Richard L. Anderson,,18,
HB 1757,Del. L. Mark Dudenhefer,,"18, 52, 112",
SB 931,Sen. J. Chapman Petersen,,18,
SB 1562,Sen. Siobhan S. Dunnavant,,23,
SB 907,Sen. Scott A. Surovell,,"23, 260",
SB 1243,Sen. Siobhan S. Dunnavant,,23,
HB 1605,Del. David A. LaR0ck,,"23, 26",
SB 995,Sen. William M Stanley,,"24, 25, 28, 33, 42, 45, 118, 137, 335",
SB 997,Sen. William M Stanley,,"24, 25, 28, 33, 42, 45, 118, 137, 335",
HB 1534,Del. Richard P. Bell,,"24, 28, 33, 42, 45, 63, 118, 137, 335",Reforming school suspensions
HB 1536,Del. Richard P. Bell,,"24, 28, 33, 42, 45, 63, 118, 137, 335",
SB 1516,Sen. Richard H. Black,,24,Reading specialist in schools for kids with dyslexia
HB 2395,Del. Benjamin L. Cline,,"24, 71",House version of above
HB 2290,Del. Jeion A. Ward,,"24, 252",Drivers ed
SB 1578,Sen. Majority Leader Thomas K. Norment,,"25. 26, 46, 183",renting property registration
HB 2108,Del. Kathy J. Byron,,"25, 66, 262",broadband
SB 1398,Sen. Scott A. Surovell,,"26, 39, 94, 95, 142, 177, 342",
SB 795,Sen. Glen H. Surtevant Jr.,,"26, 148",
SB 1063,Sen. R. Creigh Deeds,,"30, 61, 96",
HB 1782,Del. Robert B. Bell,,"30, 180, 205, 386, 512",
SB 935,Sen. L. Louise Lucas,,30,
HB 2296,Del. Delores L. McQuinn,,"32, 141, 147",had to look this up
SB 1400,Sen. L. Louise Lucas,,"35, 199",
HB 1766,Del. Gregory D. Habeeb,,"36, 78",
SB 1110,Sen. William M Stanley,,"36, 78",
SB 1479,Sen. Janet D. Howell,,"37,55",
HB 1391,Del. Betsy B. Carr,,37,
SB 1232,Sen. Siobhan S. Dunnavant,,37,
HB 1677,Del. Benjamin L. Cline,,37,
SB 1373,Senate Majority Leader Thomas K. Norment Jr.,,38,had too look this up
SB 1547,Sen. Jill Holtzman Vogel,,40,
SB 1282,Sen. Ryan T. McDougle,,"41, 262",
HB 2196,Del. Terry G. Kilgore,,"41, 262",
HB 1592,Del. Matthew James,,43,
SB 1060,Sen. Richard H. Black,,43,
SB 1241,Sen. Siobhan S. Dunnavant,,43,
SB  1060,Sen. Rhicard H. Black and Sen. Siobhan S. Dunnavan,,43,
SB 1574,Sen. Frank M. Ruff Jr.,,"44. 72, 322",
HB 2471,Del. S. Chris Jones ,,"44, 72, 171, 322",
HB 1738,Del. Richard L. Anderson,,44,
HB 1667,Del. Robert G. Marshall,,48,
HB 1904,Del. Stephen E. Heretick,,50,
HB 1428,Del. Hyland F. Fowler,,50,
HB 1912,Del. Joseph R. Yost,,50,
SB 1440,Sen. Richard H. Black,,51,
SB 1362,Sen. Richard H. Black,,"51, 122",
SB 1582,Del. Jeffrey L. Campbell,,51,
SB 1091,Sen. Adam P. Ebbin,,55,
HB 2051,Del. Les R. Adams,,55,
SB 1473,Sen. Richard L. Saslaw,,"56, 57, 78",
Senate Joint Resolution 290,Sen. Janet D. Howell,,59,
HB 1939,Del. James E. Edmunds,,59,
SB 878,Sen. Jill Holtzman Vogel,,60,
SB 1442,Sen. R. Creigh Deeds,,61,
SB 940,Sen. John A. Cosgrove,,"61, 180",
HB 1410,Del. David B. Albo,,"62, 77, 162",
SB 925,Sen. J. Chapman Petersen,,65,
SB 843,Sen. Ryan T. McDougle,,65,
HB 1978,Del. Michael J. Webert,,65,
HB 1761,Del. Richard L. Anderson,,66,
HB 2019,Del. Ronald A. Villanueva,,66,
HB 2025,Del. Nichoals J. Freitas,,"67, 138, 212",
HB 1589,Del. Jeffrey L. Campbell,,74,
HB 1941,Del. Terry G. Kilgore,,"75, 211",
SB 1413,Sen. Glen H. Sturtevant Jr. ,,75,
SB 897,Sen. Jennifer T. Wexton,,76,
HB 1568,Del. Robert D. Orrock ,,76,
SB 1053,Sen. Janet D. Howell,,77,
SB 1379,Sen. J. Chapman Petersen,,"77, 90",
SB 970,Sen. William R. DeSteph Jr.,,88,
HB 2262,Del. M. Kirkland Cox,,88,
SB 1269,Sen. Adam P. Ebbin,,89,
SB 908,Sen. L. Louise Lucas,,89,
SB 955,Sen. William R. DeSteph Jr.,,90,
SB 985,Sen. William R. DeSteph Jr.,,90,
SB 986,Sen. William R. DeSteph Jr.,,90,
SB 987,Sen. William R. DeSteph Jr.,,90,
SB 1087,Sen. Glen H. Sturtevant Jr.,,90,
SB 1088,Sen. Glen H. Sturtevant Jr. ,,90,
HB 1678,Del. Roxann L. Robinson,,"91, 256",
SB 1195,Sen. Richard H. Stuart,,92,
SB 1540,Sen. Glen H. Surtevant Jr.,,"94, 110, 15",
HB 2317,Del. John M. O'Bannon,,"97,102, 105, 176, 502",
HB 1786,Del. Christopher P. Stolle,,97,
HB 1895,Del. Marcia S. Price,,103,
SB 1593,Sen. J. Chapman Petersen,,"106, 331",
HB 1825,Del. David B. Albo,,"107, 199, 444",
HB 2077,De. Tony O. Wilt,,107,
HB 2261,Del. David LaRock ,,"109, 254",
HB 2460,Del. Robert S. Bloxom Jr. ,,"110, 150",
HB 2058,Del. Vivian E. Watts,,110,
SB 1262,Sen. Richard H. Black,,"111, 513",
SB 1502,Sen. Barbara A. Favola,,113,
HB 1760,Del. Terry G. Kilgore,,116,
HB 2303,Del. J. Randall Minchew,,116,
SB 1393,Sen. Frank W. Wagner,,116,
SB 1418,Sen. A. Benton Chafin ,,116,
HB 2201,Del. Israel D. O'Quinn,,120,
SB 816,Sen. Scott A. Surovell,,121,
HB 1393,Del. R. Steven Landes,,127,
HB 1408,Del R. Lee,,127,
SB 785,Sen. David W. Marsden,,128,
SB 979,Sen. Rosalyn R. Dance,,128,
SB 782,Sen. Adam P. Ebbin,,128,
HB 2341,Del. R. Steven Landes,,131,
HB 1473,Del. David A. LaRock,,"132, 198, 202, 250",
HB 2231,Del. John M. O'Bannon,,134,
SB 1485,Sen. Glen. H. Sturtevant,,135,
HB 1598,Del. Mark L. Cole,,136,
SB 1324,Sen. Charles W. Carrico,,"140, 338",
HB 1547,Del. Delores L. McQuinn,,141,
SB 846,Sen. L. Louise Lucas,,145,
HB 2251,Del. S. Chris Jones,,"147, 325",
HB 1854,Del. C. Todd Gilbert,,147,
Hb 1696,Del. Daniel W. Marshall,,"149, 248",
HB 2267,Del. Eileen Filler-Corn,,149,
SB 1034,Sen. Janet D. Howell,,"150, 151",
HB 1447,Del. Jason S. Miyares,,163,
HB 1434,Del. Christopher T. Head,,162,
HB 1533,Del. Patrick A. Hope ,,168,
HB 1930,Del Betsy B. Carr,,172,
HB 2423,Del. Roslyn C. Tyler,,176,
SB 1533,Sen. Mark D. Obenshain ,,178,
SB 1005,Sen. Hanger,,180,
HB 1549,Del. Farrell,,180,
HB 1783,Del. Robert B. Bell,,"180, 205",
HB 1464,Del. Richard C. Sullivan,,188,
HB 1419,Del. L. Kaye Kory,,190,
HB 2386,Del. Manoli Loupassi,,197,
HB 1802,Del. John Bell,,"201, 341",
HB 2105,Del. Kathy J. Byron,,203,
HB 1650,Del. Richard C. Sullivan,,253,
HB 1679,Del. Roxann L. Robinson,,257,
HB 1927,Del. Jeffrey L. Campbell,,259,
HB 1402,Del. R. Steven Landes,,260,
HJ 763,Del. R. Steven Landes,,261,
SB 1116,Sen. Jeremy McPike,,265,
HB 1406,Del. Gregory D. Habeeb,,300,
