leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
VAL000002,member,2009-2011,14,upper,va,Republican,,,,,
VAL000002,committee member,2009-2011,,upper,va,,VAC000015,"Agriculture, Conservation and Natural Resources",,,
VAL000002,committee member,2009-2011,,upper,va,,VAC000020,Education and Health,,,
VAL000002,committee member,2009-2011,,upper,va,,VAC000024,Privileges and Elections,,,
VAL000002,committee member,2009-2011,,upper,va,,VAC000018,Transportation,,,
VAL000002,member,2012-2013,14,upper,va,Republican,,,,,2013-08-05 00:00:00
VAL000002,committee member,2012-2013,,upper,va,,VAC000015,"Agriculture, Conservation and Natural Resources",,,
VAL000002,committee member,2012-2013,,upper,va,,VAC000020,Education and Health,,,
VAL000002,committee member,2012-2013,,upper,va,,VAC000021,Local Government,,,
VAL000002,committee member,2012-2013,,upper,va,,VAC000018,Transportation,,,
VAL000003,member,2009-2011,29,upper,va,Democratic,,,,,
VAL000003,committee member,2009-2011,,upper,va,,VAC000016,Commerce and Labor,,,
VAL000003,committee member,2009-2011,,upper,va,,VAC000017,Finance,,,
VAL000003,committee member,2009-2011,,upper,va,,VAC000025,General Laws and Technology,,,
VAL000003,committee member,2009-2011,,upper,va,,VAC000022,Rules,,,
VAL000003,member,2014-2015,29,upper,va,Democratic,,,,,
VAL000003,committee member,2014-2015,,upper,va,,VAC000016,Commerce and Labor,,,
VAL000003,committee member,2014-2015,,upper,va,,VAC000017,Finance,,,
VAL000003,committee member,2014-2015,,upper,va,,VAC000025,General Laws and Technology,,,
VAL000003,committee member,2014-2015,,upper,va,,VAC000022,Rules,,,
VAL000003,committee member,2014-2015,,upper,va,,VAC000018,Transportation,,,
VAL000003,member,2012-2013,29,upper,va,Democratic,,,,,
VAL000003,committee member,2012-2013,,upper,va,,VAC000016,Commerce and Labor,,,
VAL000003,committee member,2012-2013,,upper,va,,VAC000017,Finance,,,
VAL000003,committee member,2012-2013,,upper,va,,VAC000025,General Laws and Technology,,,
VAL000003,committee member,2012-2013,,upper,va,,VAC000022,Rules,,,
VAL000003,committee member,2012-2013,,upper,va,,VAC000018,Transportation,,,
VAL000007,member,2009-2011,33,upper,va,Democratic,,,,,
VAL000007,committee member,2009-2011,,upper,va,,VAC000016,Commerce and Labor,,,
VAL000007,committee member,2009-2011,,upper,va,,VAC000025,General Laws and Technology,,,
VAL000007,committee member,2009-2011,,upper,va,,VAC000021,Local Government,,,
VAL000007,committee member,2009-2011,,upper,va,,VAC000023,Rehabilitation and Social Services,,,
VAL000007,member,2012-2013,33,upper,va,Democratic,,,,,2014-01-11 00:00:00
VAL000008,member,2009-2011,17,upper,va,Democratic,,,,,
VAL000008,committee member,2009-2011,,upper,va,,VAC000020,Education and Health,,,
VAL000008,committee member,2009-2011,,upper,va,,VAC000017,Finance,,,
VAL000008,committee member,2009-2011,,upper,va,,VAC000025,General Laws and Technology,,,
VAL000008,committee member,2009-2011,,upper,va,,VAC000022,Rules,,,
VAL000008,committee member,2009-2011,,upper,va,,VAC000018,Transportation,,,
VAL000010,member,2009-2011,19,upper,va,Republican,,,,,
VAL000010,committee member,2009-2011,,upper,va,,VAC000019,Courts of Justice,,,
VAL000010,committee member,2009-2011,,upper,va,,VAC000025,General Laws and Technology,,,
VAL000010,committee member,2009-2011,,upper,va,,VAC000023,Rehabilitation and Social Services,,,
VAL000014,member,2009-2011,16,upper,va,Democratic,,,,,
VAL000014,committee member,2009-2011,,upper,va,,VAC000019,Courts of Justice,,,
VAL000014,committee member,2009-2011,,upper,va,,VAC000017,Finance,,,
VAL000014,committee member,2009-2011,,upper,va,,VAC000021,Local Government,,,
VAL000014,committee member,2009-2011,,upper,va,,VAC000022,Rules,,,
VAL000014,committee member,2009-2011,,upper,va,,VAC000018,Transportation,,,
VAL000014,member,2014-2015,16,upper,va,Democratic,,,,,2014-07-03 00:00:00
VAL000014,member,2012-2013,16,upper,va,Democratic,,,,,
VAL000014,committee member,2012-2013,,upper,va,,VAC000019,Courts of Justice,,,
VAL000014,committee member,2012-2013,,upper,va,,VAC000017,Finance,,,
VAL000014,committee member,2012-2013,,upper,va,,VAC000021,Local Government,,,
