leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
VAL000002,Harry B Blevins,Harry,B,Blevins,,,False,va,,,,http://sov.state.va.us/images/Blevins14.jpg,2010-12-02 07:04:38.281000,2013-12-02 15:17:10.976000
VAL000003,Charles J Colgan,Charles,J,Colgan,,,False,va,,,,http://sov.state.va.us/images/Colgan29.jpg,2010-12-02 07:04:38.283000,2016-01-05 21:07:14.010000
VAL000007,Mark R Herring,Mark,R,Herring,,,False,va,,,,http://sov.state.va.us/images/Herring33.jpg,2010-12-02 07:04:38.292000,2014-01-28 14:51:48.159000
VAL000008,R. Edward Houck,R. Edward,,Houck,,,False,va,,,,http://sov.state.va.us/images/Houck17.jpg,2010-12-02 07:04:38.294000,2012-01-16 21:13:31.013000
VAL000010,Robert Hurt,Robert,,Hurt,,,False,va,,,,,2010-12-02 07:04:38.298000,2012-01-16 21:13:31.009000
VAL000014,Henry L Marsh III,Henry,L,Marsh,III,,False,va,,,,http://apps.lis.virginia.gov/senatepics/Marsh16.jpg,2010-12-02 07:04:38.306000,2014-07-28 19:16:46.557000
VAL000015,Stephen H Martin,Stephen,H,Martin,,,False,va,,,,http://sov.state.va.us/images/Martin11.jpg,2010-12-02 07:04:38.308000,2016-01-05 21:07:14.003000
VAL000017,A. Donald McEachin,Donald,,McEachin,,,False,va,,,,http://sov.state.va.us/images/McEachin09.jpg,2010-12-02 07:04:38.322000,2017-03-11 23:07:44.307000
VAL000018,Jeffrey L McWaters,Jeffrey,L,McWaters,,,False,va,,,,http://sov.state.va.us/images/McWaters08.jpg,2010-12-02 07:04:38.324000,2016-01-05 21:07:14.015000
VAL000019,John C. Miller (Deceased),John C. Miller,,(Deceased),,,False,va,,,,http://apps.lis.virginia.gov/senatepics/newbiopics/,2010-12-02 07:04:38.326000,2016-05-06 08:07:19.782000
VAL000020,Yvonne B Miller,Yvonne,B,Miller,,,False,va,,,,http://sov.state.va.us/images/Miller05.jpg,2010-12-02 07:04:38.328000,2013-01-04 14:48:33.005000
VAL000023,Ralph S Northam,Ralph,S,Northam,,,False,va,,,,http://sov.state.va.us/images/Northam06.jpg,2010-12-02 07:04:38.334000,2014-01-29 14:41:32.178000
VAL000026,Phillip P Puckett,Phillip,P,Puckett,,,False,va,,,,http://sov.state.va.us/images/Puckett38.jpg,2010-12-02 07:04:38.354000,2014-07-28 19:17:59.869000
VAL000027,Linda T Puller,Linda,T,Puller,,Toddy,False,va,,,,http://sov.state.va.us/images/Puller36.jpg,2010-12-02 07:04:38.356000,2016-01-05 21:07:14.013000
