Name, leg_id, bill introduced, bill received action, bill approved, bill passed, bill become law
Alfonso H. Lopez,VAL000161,9,26,19,0,3
William K Barlow,VAL000049,0,1,0,0,1
Lashrecse D. Aird,VAL000244,1,3,10,0,7
Amanda F. Chase,VAL000250,14,0,3,0,2
John C. Miller (Deceased),VAL000019,8,0,17,0,5
Les R. Adams,VAL000178,5,2,18,0,8
Henry L Marsh III,VAL000014,0,0,12,0,0
Richard H. Black,VAL000148,12,0,13,0,13
Christopher P Stolle,VAL000130,2,9,13,0,13
John S Edwards,VAL000005,45,0,29,0,19
Mark H. Levine,VAL000235,10,22,5,0,1
Rick L. Morris,VAL000163,7,8,20,0,0
Edward T Scott,VAL000124,0,0,0,0,1
James M LeMunyon,VAL000092,7,25,17,0,33
Mark D Obenshain,VAL000024,24,0,38,0,31
Thomas A Greason,VAL000074,6,6,40,0,24
Robert H Brink,VAL000052,0,0,1,0,0
C. Todd Gilbert,VAL000072,2,6,24,1,10
John A Cosgrove,VAL000061,1,0,9,0,1
G. Manoli Loupassi,VAL000096,2,10,46,0,16
Harvey B Morgan,VAL000107,0,0,0,0,2
Daun S. Hester,VAL000175,1,1,11,0,5
Jason S. Miyares,VAL000238,5,12,15,0,5
A. Donald McEachin,VAL000017,18,0,19,0,3
Michael B. Watson,VAL000168,0,0,1,0,0
Michael P. Mullin,VAL000257,4,1,4,0,4
Adam P. Ebbin,VAL000066,43,1,25,0,9
Charles D. Poindexter,VAL000118,3,6,10,0,6
T. Monty Mason,VAL000190,2,5,9,0,4
Glenn R. Davis,VAL000183,6,24,10,0,9
S. Chris Jones,VAL000086,2,4,30,0,27
Kenneth C Alexander,VAL000044,8,0,7,0,9
L. Louise Lucas,VAL000012,34,0,29,0,8
Riley E Ingram,VAL000082,4,3,13,0,4
Scott A Surovell,VAL000131,0,0,3,0,0
Harry R Purkey,VAL000120,0,0,3,0,1
Mark L Cole,VAL000059,13,18,15,0,13
Betsy B Carr,VAL000055,6,13,34,0,9
M. Kirkland Cox,VAL000063,2,0,37,0,14
Roxann L Robinson,VAL000122,3,5,7,0,20
Mamye E BaCote,VAL000048,4,0,1,0,1
Tony O. Wilt,VAL000141,0,5,14,0,11
Sam Rasoul,VAL000200,16,20,32,0,4
Janet D Howell,VAL000009,14,0,19,0,14
Thomas Davis Rust,VAL000123,1,0,5,0,1
